bvets motor noise table 1.00,,,,,,,,,
#,0,1,2,3,4,5,6,7,8
0.2,0,,,,,,,,
5,,,,,,,,0,
15,0.7,,,,,,,,
16.4,,0,,,,,,,
17,0.6,,,,,,,,
17.6,,0.5,,,,,,,
18,,,,,,,,1.2,
18.4,0,,,,,,,,
19.6,,,,0,,,,,
21.6,,0.4,,,,,,,
22.6,,0.4,,,,,,,
26,,,,,,0,,0.7,
26.4,,,,,,,,,0
27.4,,,0,0.5,,,,,
28,,,,,,,,,0.4
28.4,,,,,,,,0.4,
30,,0.3,0.8,0.7,,,0,0,
33.6,,,0.8,0.9,,,,,0.6
35,,0,,1,0,0.4,0.6,,0
36.2,,,,0.6,0.5,,,,
36.4,,,0.4,,,,0.8,,
37.6,,,0,,,,,,
41.8,,,,0.6,,,,,
43,,,,0.8,,,,,
45,,,,,,,1,,
48,,,,,0.5,,,,
49.4,,,,,0,,,,
50,,,,,,0.8,,,
60,,,,0.7,,,,,
70,,,,0,,,,,
75,,,,,,,1,,
90,,,,,,1,0,,
120,,,,,,1,,,
