bvets motor noise table 1.00,,,,,,
#,0,1,2,3,4,5,6,7,8,
0.2,0,,,,0,,,0,0,
5,,,0,,,,,,,
7.4,0.3,,,,,,,,,
10,0.7,,,,,,,,,
15,0.9,,,,,,,,,
16,,0,,,,,,,,
17,0.9,,,,,,,,,
18,,1.2,1.2,,,,,,,
18.4,0,,,,,,,,,
19.8,,1.4,,,,,,,,
26,,,0.9,,,0,,,,
27,,1.1,,,,,,,,
28.4,,,0.4,,,,,,,
30,,,0,,,,0,,,
33.6,,0.5,,0,,,,,,
35,,0,,0.8,,0.4,0.6,,,
36.4,,,,,,,0.8,,,
40,,,,0.1,,,,,,
41.4,,,,1,,,,,,
43,,,,0.8,,,,,,
45,,,,,,,1,,,
50,,,,,,0.8,,,,
60,,,,0.5,,,,,,
65,,,,,,,,,,
70,,,,0,,,,,,
75,,,,,,,1,,,
80,,,,,,,,,,
90,,,,,,1,0,,,
120,,,,,,1,,,,
