bvets motor noise table 1.00,,,,,,,,,
#,0,1,2,3,4,5,6,7,8
0.2,1,,,,,,,0,0
7.4,,,,,,,,,
7.6,,,0.83,,,,,,
9,,,,,,,,,
10,,,,,,,,,
10.4,,,,,,,,,
15,,,,,,,,,
16.4,,0.67,,,,,,,
17,,0.67,,,,,,,
17.2,,0.76,1.39,,,,,,
17.6,,0.76,,,,,,,
17.8,,0.93,,,,,,,
18.2,,0.93,,,,,,,
18.4,,1.04,,,,,,,
18.8,,1.04,,,,,,,
19,,1.17,,,,,,,
21.2,,1.18,,,,,,,
26,,,,,,0.42,,,
27.4,,,,0.54,,,,,
30,,,,,,,0.8,,
30.4,,1.05,,,,,,,
32.4,,,,,,,,,
33.4,,0.97,,,,,,,
33.6,,,,,,,,,
35,,0.82,,,0.88,,,,
36.2,,,,,,,,,
36.4,,,,,,,,,
40,,,,,,,,,
43,,,,,1.1,,,,
45,,,,,,,1,,
50,,,,,,,,,
60,,,,,,,,,
70,,,,1.32,,,,,
75,,,,,,,,,
90,,,,,,,1,,
120,,,,,,1.22,,,
