bvets motor noise table 1.00,,,,,,,,,
#,0,1,2,3,4,5,6,7,8
0.2,0,,,,,,,0,0
7.4,0.3,,,,,,,,
7.6,,,0,,,,,,
9,,,0.3,,,,,,
10,0.7,,,,,,,,
10.4,,,0.3,,,,,,
15,0.9,,,,,,,,
16.4,,0,,,,,,,
17,0.9,0.6,,,,,,,
17.2,,0.9,0,,,,,,
17.6,,1,,,,,,,
17.8,,,,,,,,,
18.2,,,,,,,,,
18.4,0,,,,,,,,
18.8,,1,,,,,,,
19,,0.6,,,,,,,
21.2,,0.6,,,,,,,
26,,,,,,0,,,
27.4,,,,0,,,,,
30,,,,,,,0,,
30.4,,0.5,,,,,,,
32.4,,,,0.6,,,,,
33.4,,0.2,,,,,,,
33.6,,,,0.9,,,,,
35,,0,,0.9,0,0.4,0.6,,
36.2,,,,0.6,0.5,,,,
36.4,,,,,,,0.8,,
40,,,,0.6,0.6,,,,
43,,,,0.8,0,,,,
45,,,,,,,1,,
50,,,,,,0.8,,,
60,,,,0.7,,,,,
70,,,,0,,,,,
75,,,,,,,1,,
90,,,,,,1,0,,
120,,,,,,1,,,
