bvets motor noise table 1.00,,,,,,
#,0,1,2,3,4,5,6,7,8,
0.2,0,,,,0,,,0,0,
5,,,0,,,,,,,
15,0.9,,,,,,,,,
16,,0,,,,,,,,
17,0.8,0.5,,,,,,,,
18,,,1.2,,,,,,,
18.4,0,0.7,,,,,,,,
21,,0.8,,,,,,,,
23.8,,1,,,,,,,,
26,,,0.9,,,0,,,,
28.4,,1,0.4,,,,,,,
30,,,0,,,,0,,,
33.6,,0.5,,0,,,,,,
35,,0,,,,0.4,0.6,,,
36.4,,,,,,,0.8,,,
37,,,,,,,,,,
40,,,,,,,,,,
43,,,,,,,,,,
45,,,,,,,1,,,
46.4,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,0.8,,,,
55,,,,0.5,,,,,,
60,,,,,,,,,,
65,,,,0.5,,,,,,
70,,,,0,,,,,,
75,,,,,,,1,,,
80,,,,,,,,,,
90,,,,,,1,0,,,
120,,,,,,1,,,,
